id,city_name,region_name
213,Городовиковск,Калмыкия
214,Гороховец,Владимирская область
215,Горячий Ключ,Краснодарский край
216,Грайворон,Белгородская область
217,Гремячинск,Пермский край
218,Грозный,Чечня
219,Грязи,Липецкая область
220,Грязовец,Вологодская область
221,Губаха,Пермский край
222,Губкин,Белгородская область
223,Губкинский,Ямало-Ненецкий АО
224,Гудермес,Чечня
225,Гуково,Ростовская область
226,Гулькевичи,Краснодарский край
227,Гурьевск,Калининградская область
228,Гурьевск,Кемеровская область
229,Гусев,Калининградская область
230,Гусиноозёрск,Бурятия
231,Гусь-Хрустальный,Владимирская область
232,Давлеканово,Башкортостан
233,Дагестанские Огни,Дагестан
234,Далматово,Курганская область
235,Дальнегорск,Приморский край
236,Дальнереченск,Приморский край
237,Данилов,Ярославская область
238,Данков,Липецкая область
239,Дегтярск,Свердловская область
240,Дедовск,Московская область
241,Демидов,Смоленская область
242,Дербент,Дагестан
243,Десногорск,Смоленская область
244,Дзержинск,Нижегородская область
245,Дзержинский,Московская область
246,Дивногорск,Красноярский край
247,Дигора,Северная Осетия
248,Димитровград,Ульяновская область
249,Дмитриев,Курская область
250,Дмитров,Московская область
251,Дмитровск,Орловская область
252,Дно,Псковская область
253,Добрянка,Пермский край
254,Долгопрудный,Московская область
255,Долинск,Сахалинская область
256,Домодедово,Московская область
257,Донецк,Ростовская область
258,Донской,Тульская область
259,Дорогобуж,Смоленская область
260,Дрезна,Московская область
261,Дубна,Московская область
262,Дубовка,Волгоградская область
263,Дудинка,Красноярский край
264,Духовщина,Смоленская область
265,Дюртюли,Башкортостан
266,Дятьково,Брянская область
267,Егорьевск,Московская область
268,Ейск,Краснодарский край
269,Екатеринбург,Свердловская область
270,Елабуга,Татарстан
271,Елец,Липецкая область
272,Елизово,Камчатский край
273,Ельня,Смоленская область
274,Еманжелинск,Челябинская область
275,Емва,Коми
276,Енисейск,Красноярский край
277,Ермолино,Калужская область
278,Ершов,Саратовская область
279,Ессентуки,Ставропольский край
280,Ефремов,Тульская область
281,Железноводск,Ставропольский край
282,Железногорск,Красноярский край
283,Железногорск,Курская область
284,Железногорск-Илимский,Иркутская область
285,Жердевка,Тамбовская область
286,Жигулёвск,Самарская область
287,Жиздра,Калужская область
288,Жирновск,Волгоградская область
289,Жуков,Калужская область
290,Жуковка,Брянская область
291,Жуковский,Московская область
292,Завитинск,Амурская область
293,Заводоуковск,Тюменская область
294,Заволжск,Ивановская область
295,Заволжье,Нижегородская область
296,Задонск,Липецкая область
297,Заинск,Татарстан
298,Закаменск,Бурятия
299,Заозёрный,Красноярский край
300,Заозёрск,Мурманская область
301,Западная Двина,Тверская область
302,Заполярный,Мурманская область
303,Зарайск,Московская область
304,Заречный,Пензенская область
305,Заречный,Свердловская область
306,Заринск,Алтайский край
307,Звенигово,Марий Эл
308,Звенигород,Московская область
